numero_concurso,dezenas_sorteadas
728729,1,04 05 30 33 41 52
728736,2,09 37 39 41 43 49
728743,3,10 11 29 30 36 47
728750,4,01 05 06 27 42 59
728757,5,01 02 06 16 19 46
728764,6,07 13 19 22 40 47
728771,7,03 05 20 21 38 56
728778,8,04 17 37 38 47 53
728785,9,08 43 54 55 56 60
728792,10,04 18 21 25 38 57
728799,11,15 25 37 38 58 59
728806,12,04 16 19 20 27 43
728813,13,18 32 47 50 54 56
728820,14,02 16 23 27 47 53
728827,15,12 33 35 51 52 60
728834,16,20 32 34 49 58 60
728841,17,06 10 13 19 20 51
728848,18,23 27 36 37 42 56
728855,19,05 10 12 24 25 60
728862,20,11 25 28 30 33 51
728869,21,06 33 36 46 49 53
728876,22,01 09 31 38 46 56
728883,23,17 37 39 51 52 59
728890,24,01 08 14 28 33 43
728896,25,24 43 50 54 55 56
728903,26,10 22 50 53 57 58
728910,27,13 17 20 33 44 51
728917,28,03 06 22 24 54 60
728924,29,03 08 14 43 56 58
728931,30,07 14 15 29 38 50
728938,31,17 19 28 45 48 56
728945,32,05 14 33 36 43 44
728952,33,05 17 33 39 42 49
728959,34,13 15 17 40 53 57
728966,35,04 16 21 23 54 57
728973,36,03 13 17 25 29 51
728980,37,06 07 22 38 52 60
728987,38,10 42 43 45 54 55
728994,39,12 16 37 45 52 56
729001,40,03 05 08 12 46 47
729008,41,12 26 35 38 39 47
729015,42,07 11 19 24 33 36
729022,43,02 06 17 25 26 58
729029,44,14 18 29 38 44 47
729036,45,07 30 37 44 53 55
729043,46,01 23 24 32 46 60
729050,47,03 17 25 35 48 56
729057,48,02 05 28 34 47 50
729064,49,07 13 33 35 43 55
729071,50,06 16 21 44 57 58
729078,51,17 23 24 25 42 47
729085,52,15 30 38 46 58 59
729092,53,03 13 16 38 42 46
729099,54,05 09 18 21 36 56
729106,55,02 14 23 29 38 52
729113,56,02 07 20 35 51 59
729120,57,07 16 17 27 34 59
729127,58,12 27 30 37 44 49
729134,59,02 08 13 28 34 54
729141,60,03 14 15 20 21 38
729148,61,08 18 29 42 44 59
729155,62,06 08 13 24 31 52
729162,63,09 25 26 40 41 49
729169,64,08 12 23 50 54 60
729176,65,01 05 20 25 32 34
729183,66,12 13 15 26 33 48
729190,67,12 14 17 27 47 52
729197,68,01 03 12 13 53 59
729204,69,25 34 45 53 56 58
729211,70,17 23 27 40 43 58
729218,71,16 27 33 43 45 53
729225,72,01 19 34 43 44 48
729232,73,25 26 28 45 51 57
729239,74,02 24 34 37 38 50
729246,75,21 24 35 36 37 49
729253,76,08 17 18 23 33 53
729260,77,21 29 40 49 54 57
729267,78,12 22 25 31 32 46
729274,79,02 13 17 25 31 43
729281,80,23 28 37 40 48 51
729288,81,10 23 41 47 54 60
729295,82,15 18 29 36 51 53
729302,83,04 15 16 24 42 57
729309,84,04 06 10 25 34 40
729316,85,06 15 30 37 45 47
729323,86,06 21 22 34 36 54
729330,87,04 05 11 28 32 40
729337,88,04 18 29 37 43 45
